objectid,parentid,title,interviewee,interviewer,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,pdf,bio
helen-lowry,,Interview with Helen Lowry,Helen Lowry,Maria Truglio,Maria Truglio,2022-04-04,,Oral history interview with Helen Lowry included as part of Centre County History Otherwise Project,interview,"Bellefonte, PA",40.91336198,-77.77893198,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,transcript,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,transcript,https://psu.mediaspace.kaltura.com/media/t/1_utn97xs6,,,,
ccho_image_italian-helen_001,helen-lowry,Pietro Melchiorre and Rose Di Francesco,Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Photo of Helen's parents: Pietro Melchiorre (b. 1892) and Rose Di Francesco (b. 1901),photograph,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_002,helen-lowry,The Lowry Family,Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,"Photo of Helen, her parents, and her nine siblings",photograph,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_003,helen-lowry,Metal box made by Pietro for Rose's biscotti and pizzelle (cookies),Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Metal box made by Pietro for Rose's biscotti and pizzelle (cookies),object,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_004,helen-lowry,Metal box made by Pietro for Rose's biscotti and pizzelle (cookies),Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Metal box made by Pietro for Rose's biscotti and pizzelle (cookies),object,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_005,helen-lowry,Table and chair from Pietro's barber shop,Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Table and chair from Pietro's barber shop for clients,furniture,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_006,helen-lowry,Chest Pietro used to carry his belongings across the ocean from Naples,Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Chest Pietro used to carry his belongings across the ocean from Naples,object,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_007,helen-lowry,Inside view of Pietro's luggage,Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Inside view of Pietro's luggage,object,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_008,helen-lowry,"Corner cabinet that held items needed for Last Rites in Helen's childhod home. Lace work by Rose's mother, Elvira.",Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,"Corner cabinet that held items needed for Last Rites in Helen's childhod home. Lace work by Rose's mother, Elvira.",furniture,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
ccho_image_italian-helen_009,helen-lowry,Ceiling lamp from Pietro's barber shop (one of four),Helen Lowry,Maria Truglio,Maria Truglio,2022-05-30,,Ceiling lamp from Pietro's barber shop (one of four),furniture,,,,"Centre County History Otherwise, Deparment of Spanish, Italian and Portuguese, The Pennsylvania State University",helen_lowry,photograph,image/jpeg,,"In Copyright - Educational Use Permitted. For more information, please contact Maria Truglio at mxt34@psu.edu ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,,,,,
