speaker,words,tags,timestamp
Maria,"Okay. So my name is Maria Truglio. Today is April 4th, 2022. And today, I am speaking with Mrs. Helen Lowry of Bellefonte, Pennsylvania for the Centre County, otherwise, Oral History Project. So thank you, Helen, for talking with me today. Um, the first question I wanted to ask you is, where were you living before you came to Centre County?",,[0:02]
Helen,"We were living in Dickinson, North Dakota. Um, we had lived in North Dakota for 14 years. Because our youngest daughter and her three, our three grandchildren live there. So we wanted to be part of their life also.",,[0:31]
Maria,"And how would you describe your life before coming to Centre County? For you, what were the most important aspects of your life before coming here?",,[0:51]
Helen,"Our life has always been very family-oriented. Um, I am the baby of 10. And we were just a tight Italian family from day one, from the minute I was born, since I was the baby. And my husband is not Italian. He was raised by grandparents. So his life was completely different than mine. But he absolutely loved my life, and kind of took it over as his. He used to tell people that my mom and dad were his. So, um, we just, we've been very lucky in our life. He's 84 and I'm 80. And we've had a wonderful life. Family has always been number one. That's how we go.",family,[1:04]
Maria,"What is your husband's name, Helen?",,[2:06]
Helen,"My husband's name is Lonnie, L-O-N-N-I-E.",,[2:10]
Maria,Lonnie. Okay.,,[2:15]
Helen,"And my middle, my main name, my maiden name, excuse me, was Melchiorre, M as in Mary, E-L-C-H-I-O-R-R-E.",,[2:16]
Maria,I think that is traditionally one of the names of one of the three kings.,,[2:29]
Helen,"It sure is. Yes, that's what we loved to tease my father about. Are we related to them? Obviously, we weren't.",,[2:35]
Maria,"And Helen, were both your father and your mother of Italian origin?",,[2:47]
Helen,"Yes, but my mother was born in the United States. Her mom, my grandmother, which is the only grandparent we ever knew, was my mom's mom, um, she was one of 17 children. And she was born in Italy, my grandmother. And she came to America when she was 19, I think it was. And then she had eight children in the United States. My mother being one of them.","family, immigration",[2:54]
Maria,"So your mom's mom was born in Italy, and she was one of 17 children.",,[3:24]
Helen,Yes.,,[3:29]
Maria,She came to the United States and then she had eight children?,,[3:30]
Helen,Yeah.,,[3:34]
Maria,"One of whom was your mom. Okay. And tell us, um, could you tell us about your dad a little bit?",,[3:35]
Helen,"Yes. My dad was a wonderful person. He was not your typical Italian. He didn't have a temper. He was proud of his nationality. He was proud of his family. We lived in a community, um-. We were about five miles from Valley Forge, if anyone knows where Valley Forge is. That's where we grew up, um. And it a -, it was owned, the town was pretty much owned by Warner Company, which was a lime company there. But they also unbelievably had a, a branch here in Bellefonte. But theirs was -, they went into the ground. They, they were in tunnels like my father was in that. But most of our town was Italian. That was the, the heaviest. And then there were Spanish, we had Polish, we had German, we had Black. It was just a wonderful community. And my, my parents never drove, never had a car. And my father was the town barber in our home. So when he came home at 3:30 in the afternoon from Warner Company, he put on his white shirt and his necktie, and he became the, the barber. And he would stay open till 10:30, 11:00 because there were a lot of farmers in our area. And he would, especially, in this, you know, in this fall and the summer, wait for them to finish their work to come for a haircut. Because in those days, men got their hair cut frequently. They didn't have the long hair and all that. So, it was just a wonderful. And then, of -, the door to the barber inside was opened right into our dining room. So if we were having dinner and when it, somebody came in for a haircut, they would walk right into the house, you know, and come into the kitchen, and it was just a family -- everybody was a family.","identity, family, community, work",[3:42]
Maria,"And so with those people coming into your home, to have your dad cut their hair, and you were a child at this time, right, you felt safe and comfortable with the folks coming in and out?",,[6:03]
Helen,"Our barber shop was big, very large. We had our ironing board was set up there at all times. Because Monday, when you came home from school, it was ironing day. So, we would iron Monday after we came home. My mom had her sewing machine in there. I mean, we, it was just another room to us. And if there were no kids in there, some of the customers were like, ""Pete, where's all your kids?"", you know. So I mean, they were used to being part of it. And my father and mother made pizzelles, which are an Italian cookie. And they made them constantly because my father loved them. And they gave them to all his customers at Christmas time. They would have pizzelles ready for them to take home. And they would also have a drink of wine or some -- I mean, it was, it was a social as well as getting a haircut. And it was just, just a wonderful life. Just a wonderful life. ",,[6:18]
Maria,And this is what your father did as the sort of second shift--,,[7:27]
Helen,Right.,,[7:32]
Maria,"-- after his daytime job. And did I understand, was that, did he go into the mines? Was it a mining kind of a job?",,[7:33]
Helen,"(unitelligible) He became a -- oh shoot, I forget what he became. He, he was a tinsmith for the company, for Warner Company. So he fixed any of the equipment. He made things out of tin that were little pieces leftover. You know, he made this little banks and he made -- I have a basket that I use still to this day that we used to put apples in it, but now I have clothespins in it.",work,[7:40]
Maria,And your dad made that?,,[8:09]
Helen,"My dad made it, yes. And we ha-, I have a trunk upstairs that he came -, took from Italy when he came. And he, we also had chickens, always. We always had chickens. He had a garden. We had fruit trees. And we had grapes. Of course, we always had grapes. And I don't remember it, but there's pictures of me like when I was three and four years old, we had pigs also. But I don't remember the pigs.",,[8:11]
Maria,Right.,,[8:44]
